District code,State name,District name,Population,Male,Female,Literate,Male_Literate,Female_Literate,Hindus,Muslims,Christians,Sikhs,Buddhists,Jains,Others_Religions,Religion_Not_Stated,Rural_Households,Urban_Households,Households
1,JAMMU AND KASHMIR,Kupwara,870354,474190,396164,439654,282823,156831,37128,823286,1700,5600,66,39,13,2522,158438,23226,181664
2,JAMMU AND KASHMIR,Badgam,753745,398041,355704,335649,207741,127908,10110,736054,1489,5559,47,6,2,478,160649,27190,187839
3,JAMMU AND KASHMIR,Leh(Ladakh),133487,78971,54516,93770,62834,30936,22882,19057,658,1092,88635,103,54,1006,36920,17474,54394
4,JAMMU AND KASHMIR,Kargil,140802,77785,63017,86236,56301,29935,10341,108239,604,1171,20126,28,4,289,40370,7774,48144
5,JAMMU AND KASHMIR,Punch,476835,251899,224936,261724,163333,98391,32604,431279,958,11188,83,10,2,711,132139,15269,147408
6,JAMMU AND KASHMIR,Rajouri,642415,345351,297064,364109,224469,139640,221880,402879,983,15513,189,26,3,942,196070,17508,213578
7,JAMMU AND KASHMIR,Kathua,616435,326109,290326,389204,228499,160705,540063,64234,1828,9551,24,16,2,717,181374,33473,214847
8,JAMMU AND KASHMIR,Baramula,1008039,534733,473306,545149,337170,207979,30621,959185,1497,14770,140,29,7,1790,210543,48932,259475
9,JAMMU AND KASHMIR,Bandipore,392232,207680,184552,185979,117058,68921,8439,382006,572,555,44,17,2,597,80521,17555,98076
10,JAMMU AND KASHMIR,Srinagar,1236829,651124,585705,748584,431746,316838,42540,1177342,2746,12187,285,74,2,1653,4518,257721,262239
11,JAMMU AND KASHMIR,Ganderbal,297446,158720,138726,143276,90581,52695,5592,290581,406,486,25,8,4,344,63788,13558,77346
12,JAMMU AND KASHMIR,Pulwama,560440,293064,267376,293958,178326,115632,13840,535159,1109,9440,35,6,18,833,147520,21703,169223
13,JAMMU AND KASHMIR,Shupiyan,266215,136480,129735,136500,80355,56145,3116,262263,429,178,6,1,6,216,75616,5272,80888
14,JAMMU AND KASHMIR,Anantnag,1078692,559767,518925,545532,324417,221115,13180,1057005,1449,6140,55,7,7,849,207067,70666,277733
15,JAMMU AND KASHMIR,Kulgam,424483,217620,206863,209085,125052,84033,4267,418076,460,1035,27,25,9,584,95952,25178,121130
16,JAMMU AND KASHMIR,Doda,409936,213641,196295,219083,138620,80463,187621,220614,472,422,21,22,42,722,122267,11350,133617
17,JAMMU AND KASHMIR,Ramban,283713,149132,134581,124065,82938,41127,81026,200516,414,753,43,3,252,706,84281,5341,89622
18,JAMMU AND KASHMIR,Kishtwar,230696,120165,110531,107506,68700,38806,93931,133225,277,450,2094,3,514,202,72378,5993,78371
19,JAMMU AND KASHMIR,Udhampur,554985,296784,258201,322354,197543,124811,489044,59771,1962,3418,106,57,235,392,148664,34696,183360
20,JAMMU AND KASHMIR,Reasi,314667,166461,148206,150542,93937,56605,153898,156275,1208,3107,15,7,3,154,95572,12261,107833
21,JAMMU AND KASHMIR,Jammu,1529958,813821,716137,1137135,641916,495219,1289240,107489,12104,114272,470,1987,321,4075,254566,248043,502609
22,JAMMU AND KASHMIR,Samba,318898,169124,149774,228139,130312,97827,275311,22950,2306,17961,48,16,6,300,94247,19989,114236
23,HIMACHAL PRADESH,Chamba,519080,261320,257760,323842,186064,137778,479782,32455,1559,2745,1740,57,14,728,186395,13836,200231
24,HIMACHAL PRADESH,Kangra,1510075,750591,759484,1152640,606443,546197,1461140,19797,3023,8929,14511,194,208,2273,588321,39007,627328
25,HIMACHAL PRADESH,Lahul AND Spiti,31564,16588,14976,21845,12897,8948,11649,74,212,35,19572,3,1,18,17434,0,17434
26,HIMACHAL PRADESH,Kullu,437903,225452,212451,307672,174550,133122,415669,2974,1568,1396,15377,94,83,742,167995,20709,188704
27,HIMACHAL PRADESH,Mandi,999777,498065,501712,723747,393669,330078,981412,9460,876,4081,2628,43,86,1191,431129,31696,462825
28,HIMACHAL PRADESH,Hamirpur,454768,217070,237698,358091,180555,177536,449412,3711,243,591,95,293,9,414,196116,15232,211348
29,HIMACHAL PRADESH,Una,521173,263692,257481,399715,213281,186434,480138,14275,390,26009,56,70,10,225,185091,20126,205217
30,HIMACHAL PRADESH,Bilaspur,381956,192764,189192,287620,155599,132021,371973,6984,236,2387,113,10,7,246,152458,11987,164445
31,HIMACHAL PRADESH,Solan,580320,308754,271566,428578,244372,184206,548579,14678,1452,13926,574,591,110,410,192787,51509,244296
32,HIMACHAL PRADESH,Sirmaur,529855,276289,253566,362645,205617,157028,476830,33215,577,15501,2645,236,86,765,171102,21054,192156
33,HIMACHAL PRADESH,Shimla,814010,425039,388971,612642,342846,269796,791449,11810,2025,4047,3262,185,197,1035,279269,95896,375165
34,HIMACHAL PRADESH,Kinnaur,84121,46249,37872,60699,36697,24002,64732,448,485,249,18086,29,45,47,44514,0,44514
35,PUNJAB,Gurdaspur,2298323,1212617,1085706,1634719,907660,727059,1074332,27667,176587,1002874,405,580,812,15066,420860,185488,606348
36,PUNJAB,Kapurthala,815168,426311,388857,576567,316254,260313,336124,10190,5445,453692,6662,553,334,2168,165433,95770,261203
37,PUNJAB,Jalandhar,2193590,1145211,1048379,1622537,882581,739956,1394329,30233,26016,718363,11385,4011,805,8448,330339,377791,708130
38,PUNJAB,Hoshiarpur,1586625,809057,777568,1199699,637927,561772,1000743,23089,14968,538208,3476,2034,531,3576,422673,128592,551265
39,PUNJAB,Shahid Bhagat Singh Nagar,612310,313291,299019,438459,239155,199304,401368,6829,1479,192885,5885,695,266,2903,183168,48383,231551
40,PUNJAB,Fatehgarh Sahib,600163,320795,279368,426033,238696,187337,152851,16808,1698,427521,48,178,251,808,117559,57337,174896
41,PUNJAB,Ludhiana,3498739,1867816,1630923,2560225,1428348,1131877,1502403,77713,16517,1863408,2007,19620,1254,15817,395032,641789,1036821
42,PUNJAB,Moga,995746,525920,469826,627889,348549,279340,158414,9388,3277,818921,178,436,365,4767,214295,74144,288439
43,PUNJAB,Firozpur,2029074,1071637,957437,1227511,707070,520441,906408,6844,19358,1090815,454,1143,278,3774,348522,153868,502390
44,PUNJAB,Muktsar,901896,475622,426274,524848,300401,224447,254920,4333,1681,638625,240,744,433,920,149507,74650,224157
45,PUNJAB,Faridkot,617508,326671,290837,381285,215767,165518,141363,3125,1227,469789,155,1109,103,637,99946,58917,158863
46,PUNJAB,Bathinda,1388525,743197,645328,844868,488261,356607,380569,16299,2474,984286,246,1266,559,2826,218159,137563,355722
47,PUNJAB,Mansa,769751,408732,361019,423560,244037,179523,156539,10375,917,598443,123,1577,493,1284,145603,50786,196389
48,PUNJAB,Patiala,1895686,1002522,893164,1266791,711052,555739,783306,40043,5683,1059944,245,1914,1410,3141,299279,218090,517369
49,PUNJAB,Amritsar,2490656,1318408,1172248,1684770,932981,751789,690939,12502,54344,1716935,876,3152,1044,10864,275477,385476,660953
50,PUNJAB,Tarn Taran,1119627,589369,530258,666162,376427,289735,60504,3855,6095,1044903,101,650,47,3472,222717,44457,267174
51,PUNJAB,Rupnagar,684627,357485,327142,502731,278534,224197,304481,14492,2094,361045,118,653,143,1601,148162,60537,208699
52,PUNJAB,Sahibzada Ajit Singh Nagar,994628,529253,465375,736575,409944,326631,476276,29488,5342,478908,257,1257,239,2861,117293,174042,291335
53,PUNJAB,Sangrur,1655169,878029,777140,1002077,570413,431664,389410,179116,2406,1077438,268,3222,1038,2271,292156,156788,448944
54,PUNJAB,Barnala,595527,317522,278005,359831,201999,157832,112859,13100,622,467751,108,246,481,360,102577,54222,156799
55,CHANDIGARH,Chandigarh,1055450,580663,474787,805438,465346,340092,852574,51447,8720,138329,1160,1960,246,1014,8911,289456,298367
56,UTTARAKHAND,Uttarkashi,330086,168597,161489,215126,128237,86889,324859,3554,353,167,563,74,105,411,112148,9061,121209
57,UTTARAKHAND,Chamoli,391605,193991,197614,280556,155395,125161,385818,4395,428,323,190,11,23,417,163434,22906,186340
58,UTTARAKHAND,Rudraprayag,242285,114589,127696,170933,91803,79130,240170,1486,171,38,9,4,44,363,112705,4454,117159
59,UTTARAKHAND,Tehri Garhwal,618931,297986,320945,407994,227406,180588,609835,7374,656,290,32,91,109,544,227059,27177,254236
60,UTTARAKHAND,Dehradun,1696694,892199,804495,1259506,702216,557290,1424916,202057,13416,36454,11778,5117,217,2739,228245,269393,497638
61,UTTARAKHAND,Garhwal,687271,326829,360442,494889,262148,232741,660507,22931,2161,619,58,212,51,732,279682,36780,316462
62,UTTARAKHAND,Pithoragarh,483439,239306,244133,345550,189623,155927,475105,6015,1401,260,185,13,30,430,183687,26256,209943
